question,answer
How do I resolve a 403 API error?,The authenticated identity may lack permission for the requested action.
Can you help me resolve a 403 API error?,The authenticated identity may lack permission for the requested action.
How do I resolve a 429 API error?,Reduce request frequency and follow the documented retry guidance.
Can you help me resolve a 429 API error?,Reduce request frequency and follow the documented retry guidance.
How do I configure webhooks?,"Create an endpoint, select events, and verify webhook signatures."
Can you help me configure webhooks?,"Create an endpoint, select events, and verify webhook signatures."
How do I fix a failing webhook?,"Check endpoint availability, response codes, timeouts, signatures, and retry logs."
Can you help me fix a failing webhook?,"Check endpoint availability, response codes, timeouts, signatures, and retry logs."
How do I connect an integration?,"Open Integrations, select the service, and authorize the requested permissions."
Can you help me connect an integration?,"Open Integrations, select the service, and authorize the requested permissions."
How do I disconnect an integration?,Open integration settings and select Disconnect or Revoke.
Can you help me disconnect an integration?,Open integration settings and select Disconnect or Revoke.
How do I set up single sign-on?,Use administrator security settings on an eligible plan and follow the SSO documentation.
Can you help me set up single sign-on?,Use administrator security settings on an eligible plan and follow the SSO documentation.
How do I view the audit log?,Use the administrator audit-log page and available filters.
Can you help me view the audit log?,Use the administrator audit-log page and available filters.
How do I check service status?,Use the official service-status page for incidents and maintenance.
Can you help me check service status?,Use the official service-status page for incidents and maintenance.
How do I report a bug?,"Use the support form and include reproducible steps, screenshots, and expected behavior."
Can you help me report a bug?,"Use the support form and include reproducible steps, screenshots, and expected behavior."
How do I contact human support?,Use the support portal or request a human agent through the available contact channel.
Can you help me contact human support?,Use the support portal or request a human agent through the available contact channel.
