question,answer
How do I view my unofficial transcript?,Use the academic-records section of the student portal.
How do I update my address?,Edit your contact information in the student portal.
How do I change my legal name?,Submit the registrar's request with acceptable legal documentation.
How do I get proof of enrollment?,Request an enrollment verification through the registrar or student portal.
How do I get a student ID card?,Follow the campus card office's photo and pickup instructions.
I lost my student ID.,Report it and request a replacement through the campus card office.
How do I access the library?,Use your student credentials and campus card according to library policy.
How do I borrow a book?,Find the item and check it out with your valid library account.
How do I renew a library item?,Use your library account unless the item has restrictions or another request.
How do I access online journals?,Sign in through the library website with university credentials.
How do I reserve a study room?,Use the library's room-booking system.
How do I pay a library fine?,Review your library account and use the accepted payment process.
How do I connect to campus Wi-Fi?,Select the official network and authenticate with your university credentials.
I forgot my university password.,Use the official password-reset service.
My university account is locked.,Wait for the lock period or contact the IT service desk.
How do I install university software?,Use the approved software portal and confirm licensing eligibility.
How do I access email?,Open the university email service and sign in with your account.
How do I report a phishing email?,Use the university's phishing-report process and do not click suspicious links.
How do I contact IT support?,"Use the service desk portal, phone number, or in-person support listed by the university."
How do I book an academic advising appointment?,Use the program's advising booking system or contact the advising office.
Who is my academic advisor?,Check your program portal or contact the department.
How do I change my major?,Review eligibility and submit the program-change request.
How do I add a minor?,Check minor requirements and submit the appropriate declaration form.
How do I plan my degree?,"Use the academic calendar, degree audit, and advising support."
What is a degree audit?,A degree audit compares completed and planned courses with program requirements.
How do I transfer credits?,Submit official records and a transfer-credit evaluation request.
Can I study abroad?,"Review exchange eligibility, partner institutions, deadlines, and advising requirements."
How do I take a leave of absence?,Follow the program's leave request procedure and review its consequences.
How do I withdraw from the university?,Contact the registrar or program office and complete the official withdrawal process.
Where can I get mental-health support?,"Use the university's counselling, wellness, or emergency support services."
Where can I get accessibility support?,Register with the accessibility office and provide required documentation.
How do I report harassment?,Use the university's designated confidential reporting and support channels.
Where can I find campus security?,"Use the official campus security contact information, especially for urgent concerns."
What should I do in an emergency?,Call local emergency services and campus security according to university instructions.
How do I join a student club?,Browse the student association's club directory and contact the club.
Where can I find campus events?,Check the university events calendar and student association channels.
How do I use the gym?,"Review athletics membership, access, and facility schedules."
How do I apply for residence?,Use the housing application portal before the deadline.
How do I report a residence maintenance problem?,Submit a maintenance request through housing services.
How do I get a parking permit?,Apply through parking services and review availability and fees.
How do I graduate?,Complete degree requirements and submit a graduation application by the deadline.
When is convocation?,Check the official convocation schedule after graduation eligibility is confirmed.
How do I get my diploma?,Follow registrar instructions for pickup or delivery after degree conferral.
Can you change my grade?,No. Grade changes require the instructor and official academic process.
